ID ID Set Genre                                    sec wer
001 1 test_clean POP RNB_SOUL BLUES                       220.10 101.24
001 2 test_clean POP RNB_SOUL                             230.50 100.37
001 3 test_clean RNB_SOUL POP                             257.10 112.70
002 1 test_clean ELECTRONIC                               175.62 97.99
003 1 test_clean RNB_SOUL ELECTRONIC ROCK HIPHOP POP      190.60 117.17
004 1 train_clean RNB_SOUL                                 214.85 88.39
005 2 train_clean POP RNB_SOUL                             46.00 100.00
005 3 train_clean POP ELECTRONIC                           165.15 95.14
005 4 train_clean POP RNB_SOUL BLUES                       97.60 97.28
005 5 train_clean POP ELECTRONIC                           190.20 98.29
005 6 train_clean POP ELECTRONIC RNB_SOUL                  90.30 85.29
006 1 train_clean POP                                      193.35 95.69
007 1 test_clean POP RNB_SOUL                             171.30 137.65
009 1 train_clean POP RNB_SOUL                             213.30 89.98
009 2 train_clean POP RNB_SOUL                             196.90 90.48
009 3 train_clean POP (DOO-WOP)                            213.90 92.25
009 4 train_clean ROCK (reggae)                            146.30 97.25
009 5 train_clean ROCK RNB_SOUL                            193.40 96.61
009 6 train_clean POP                                      173.30 92.42
009 7 train_clean (REGGAE) (POP_reggae) JAZZ RNB_SOUL (SKA)  161.80 92.34
011 1 test_clean POP ELECTRONIC ROCK                      196.90 97.65
013 1 test_clean POP                                      98.30 104.89
013 2 test_clean POP                                      198.30 100.97
013 3 test_clean POP                                      170.60 97.01
013 4 test_clean POP (RNB_ballad) (piano_ballad)          134.70 96.14
013 5 test_clean POP RNB_SOUL                             113.80 92.40
013 6 test_clean RNB_SOUL POP                             172.50 94.41
014 1 train_clean RNB_SOUL                                 253.10 94.62
016 1 test_other POP RNB_SOUL (ACOUSTIC)                  213.08 153.27
017 1 train_other POP (ACOUSTIC)                           238.27 87.19
017 3 train_other FOLK                                     190.50 88.79
018 1 train_clean POP ELECTRONIC                           215.20 96.30
018 2 train_clean POP ELECTRONIC                           210.90 96.97
020 1 train_clean ROCK POP                                 156.80 94.52
020 2 train_clean ROCK POP                                 186.90 90.56
021 1 test_clean POP                                      185.03 97.78
022 1 test_clean POP ELECTRONIC                           177.90 99.72
024 1 train_clean POP RNB_SOUL ELECTRONIC                  205.01 102.55
024 2 train_clean POP RNB_SOUL                             138.90 90.44
024 3 train_clean POP                                      141.30 84.09
024 4 train_clean ROCK POP ELECTRONIC                      120.80 93.08
024 5 train_clean POP                                      188.50 94.22
024 6 train_clean ELECTRONIC                               75.10 91.94
025 1 train_clean FOLK ROCK POP                            192.50 85.77
026 2 test_clean POP ELECTRONIC                           81.10 97.28
027 1 train_clean POP                                      212.80 74.79
027 2 train_clean POP ELECTRONIC                           179.60 93.99
027 3 train_clean POP ELECTRONIC                           185.60 85.31
028 3 test_clean POP                                      239.20 97.26
028 4 test_clean POP ELECTRONIC                           203.80 97.30
028 5 test_clean POP                                      173.00 101.07
029 1 train_clean POP                                      252.60 96.95
029 2 train_clean POP                                      181.60 95.83
030 1 train_clean POP                                      208.30 96.16
031 1 test_clean ELECTRONIC                               124.80 96.71
032 1 train_clean RNB_SOUL ELECTRONIC ROCK POP             138.50 96.33
